step,actic loss,critic loss,average distance,time
10,-432.5869,106.3194,10.4090,0min6sec
20,-360.3590,80.6657,10.4370,0min6sec
30,-195.1790,60.1731,10.4401,0min6sec
40,-139.2927,46.8954,10.4408,0min6sec
50,-114.1632,38.2323,10.4381,0min6sec
60,-94.5296,32.2776,10.4394,0min6sec
70,-80.4750,27.9600,10.4358,0min6sec
80,-70.1228,24.6919,10.4386,0min6sec
90,-62.4632,22.1521,10.4379,0min6sec
100,-56.2063,20.1171,10.4385,0min6sec
110,-51.0541,18.4443,10.4321,0min6sec
120,-46.6769,17.0308,10.3456,0min6sec
130,-43.2107,15.8219,10.1542,0min6sec
140,-40.0126,14.8090,9.9741,0min6sec
150,-37.2998,13.9145,9.8165,0min6sec
160,-35.0033,13.1354,9.6813,0min6sec
170,-33.0145,12.4437,9.5637,0min6sec
180,-31.2016,11.8243,9.4544,0min6sec
190,-29.5522,11.2698,9.3574,0min6sec
200,-28.0901,10.7701,9.2692,0min6sec
210,-26.7662,10.3180,9.1871,0min6sec
220,-25.5292,9.9056,9.1108,0min6sec
230,-24.4251,9.5285,9.0418,0min6sec
240,-23.4160,9.1831,8.9774,0min6sec
250,-22.4896,8.8669,8.9185,0min6sec
260,-21.6169,8.5744,8.8616,0min6sec
270,-20.8248,8.3045,8.8100,0min6sec
280,-20.0778,8.0514,8.7639,0min6sec
290,-19.3871,7.8146,8.7215,0min6sec
300,-18.7410,7.5939,8.6815,0min6sec
310,-18.1462,7.3889,8.6435,0min6sec
320,-17.5665,7.1975,8.6071,0min6sec
330,-17.0362,7.0197,8.5750,0min6sec
340,-16.5333,6.8508,8.5431,0min6sec
350,-16.0782,6.6949,8.5123,0min6sec
360,-15.6361,6.5455,8.4844,0min6sec
370,-15.2122,6.4069,8.4591,0min6sec
380,-14.8299,6.2756,8.4351,0min6sec
390,-14.4547,6.1493,8.4119,0min6sec
400,-14.0930,6.0299,8.3900,0min6sec
410,-13.7517,5.9158,8.3680,0min6sec
420,-13.4293,5.8074,8.3469,0min6sec
430,-13.1176,5.7056,8.3274,0min6sec
440,-12.8321,5.6067,8.3088,0min6sec
450,-12.5508,5.5128,8.2918,0min6sec
460,-12.2758,5.4226,8.2763,0min6sec
470,-12.0112,5.3357,8.2593,0min6sec
480,-11.7617,5.2528,8.2431,0min6sec
490,-11.5242,5.1727,8.2277,0min6sec
500,-11.2943,5.0941,8.2128,0min6sec
510,-11.0748,5.0195,8.1976,0min6sec
520,-10.8653,4.9485,8.1832,0min6sec
530,-10.6605,4.8804,8.1714,0min6sec
